DATA_SIZE	TIME_MILP	TIME_MILP_CI	TIME_BF	TIME_BF_CI	TIME_BPS	TIME_BPS_CI
10	0.0060620570182800294	0.00013980151016114553	0.00022716522216796874	7.089065891498468e-06	0.00010542392730712891	3.939995889111406e-06
20	0.02366563081741333	0.0013136728010707185	0.0011590051651000977	3.039344932409052e-05	0.0001901698112487793	5.313452946808394e-06
30	0.04958758592605591	0.0020581401260573416	0.003251650333404541	0.00016926798713871546	0.0002107405662536621	1.0169876647079809e-05
50	0.16038648366928102	0.01142823060793784	0.010399241447448731	0.0006146188633897305	0.0003542017936706543	1.9886604441016586e-05
100	0.6377223634719849	0.026318624680817814	0.0729056191444397	0.0036318038048040132	0.0007069063186645508	4.211338665806263e-05
150	1.0919024682044982	0.06747636776933184	0.2058371901512146	0.008920428847638733	0.0009700441360473632	4.702963809587576e-05
200	1.7653315877914428	0.08318524629995741	0.4450096368789673	0.016387997975713435	0.001148996353149414	4.755023271934529e-05
300	3.3226325511932373	0.1380067331436306	1.4294639039039612	0.044264382122833595	0.0018075227737426758	6.15169713274967e-05
400	5.60122843503952	0.3979278959946263	3.2259188318252563	0.0781900686769889	0.002457091808319092	0.00011250442485122209
500	8.697025890350341	0.44525218959597956	5.96280490398407	0.10676778042704965	0.002790515422821045	7.236828165252553e-05
