DATA_SIZE	TIME_MILP	TIME_MILP_CI	TIME_BF	TIME_BF_CI	TIME_BPS	TIME_BPS_CI
10	0.005750308036804199	0.00021108329491986187	0.00019992589950561522	3.1821159651533928e-06	9.430646896362305e-05	2.8555793135142914e-06
20	0.014729394912719726	0.00022886255086279416	0.0008387303352355957	5.636607340252123e-06	0.0001439666748046875	3.081481976416252e-06
30	0.02531975746154785	0.00013111489531984167	0.002187366485595703	1.1090336462072295e-05	0.0001689600944519043	1.591403964563805e-06
50	0.0400096321105957	7.379253359645917e-05	0.008008928298950195	3.389242272116396e-05	0.00019202947616577147	1.4035242524498546e-06
100	0.262233145236969	0.018435501617753505	0.052792301177978514	0.0006179231651402229	0.0004855728149414063	1.190120403444935e-05
150	0.8113396120071411	0.023673787236484778	0.1696929979324341	0.0029761303185221527	0.0005709505081176757	1.5015415462219367e-05
200	1.3055447840690613	0.03897941690931122	0.378100790977478	0.002359412762858391	0.000938405990600586	2.1053615303672e-05
300	4.084216752052307	0.25233575774709066	1.2506926774978637	0.0222272560320304	0.00172609806060791	2.6861464043423132e-05
400	6.150605738162994	0.5543890088110663	2.952344624996185	0.04346508739461095	0.0022440242767333986	3.7388376087657045e-05
500	7.266119906902313	0.5528714159365545	5.53434137582779	0.06684962498598138	0.0027634453773498534	3.911839116943983e-05
