DATA_SIZE	TIME_MILP	TIME_MILP_CI	TIME_BF	TIME_BF_CI	TIME_BPS	TIME_BPS_CI
10	0.009049227237701416	0.00023556872482117125	0.00038234710693359377	6.651567567900405e-06	0.00013509988784790039	2.504463212705393e-06
20	0.039343137741088864	0.0011413188035722052	0.0016695117950439452	2.810855565767965e-05	0.0002553439140319824	8.685815012911337e-06
30	0.04337952136993408	0.0009157676225436215	0.004408657550811768	7.623232712447968e-05	0.00029289960861206054	2.1982964341412185e-05
50	0.08198178291320801	0.0026179811840867937	0.014559249877929687	0.0007774710050826877	0.00040282726287841795	1.82694898914135e-05
100	0.08453716039657592	0.004017979091663528	0.06642443895339965	0.004044759133916666	0.00039942264556884765	2.3221695177896717e-05
150	0.2418469715118408	0.010024479332920569	0.24972669124603272	0.012961683351492224	0.0011249446868896484	6.587497752741593e-05
200	0.3110223889350891	0.01044200225273469	0.5638962435722351	0.027487737174131218	0.001071913242340088	5.6522383179677894e-05
300	0.6339159035682678	0.019514896401611994	1.7796269130706788	0.07216562137999748	0.0020230269432067872	0.0001079516239884138
400	0.8601995038986207	0.025471055051654624	4.006528582572937	0.14541920980382264	0.002373969554901123	0.00012178188534187972
500	0.8760104393959045	0.028738728350756547	7.152937977313996	0.210636723158746	0.0021358275413513182	0.00010863890676247976
