DATA_SIZE	TIME_MILP	TIME_MILP_CI	TIME_BF	TIME_BF_CI	TIME_BPS	TIME_BPS_CI
10	0.0073590707778930665	0.0006339961424593857	0.00024350166320800782	1.237385006618126e-05	0.00011500358581542969	5.690466337354365e-06
20	0.020200517177581787	0.0011525841547420986	0.001011512279510498	5.976028896216284e-05	0.0001787590980529785	9.780272502341431e-06
30	0.04815464973449707	0.0019234505167201996	0.003135817050933838	0.00017391914779892344	0.00018672943115234376	9.629944820340296e-06
50	0.13304971694946288	0.010540616702672723	0.011672556400299072	0.0006952809877904843	0.00032065391540527345	1.841385255149166e-05
100	0.6302873325347901	0.02210704238950268	0.07416693687438965	0.004264722497242218	0.0006293034553527832	4.010448365358711e-05
150	1.221229660511017	0.0407370785564419	0.21131033658981324	0.009207227392975569	0.0009213900566101075	3.8093788178393255e-05
200	1.8575722479820251	0.1351619146528413	0.4268518090248108	0.014503125558553012	0.0011386752128601074	4.296903896712453e-05
300	3.393439347743988	0.18223750008576187	1.3574460196495055	0.040265622123220685	0.0018309164047241211	7.497535221285664e-05
400	5.74625515460968	0.34162612820789234	3.1458328223228453	0.09139165377648392	0.002390427589416504	9.061724298441231e-05
500	8.531336069107056	0.4990773443679059	5.984188976287842	0.12874193566231748	0.002912137508392334	0.00010147723207647844
