DATA_SIZE	TIME_MILP	TIME_MILP_CI	TIME_BF	TIME_BF_CI	TIME_BPS	TIME_BPS_CI
10	0.007641189098358155	0.0003948464720499358	0.00021064519882202148	6.474239381821222e-06	9.837865829467773e-05	3.3660985959024636e-06
20	0.017689611911773682	0.001287772432472456	0.0009127283096313477	4.5141916016729015e-05	0.000129852294921875	5.807036496494209e-06
30	0.043878974914550783	0.002570249859817412	0.0027448177337646485	0.00017990197932369795	0.00017966747283935548	1.095327487787833e-05
50	0.12431946039199829	0.007508620154642114	0.01106825351715088	0.0007623358696317549	0.00035254478454589845	2.448151051032939e-05
100	0.610755136013031	0.037612841748711656	0.07323773145675659	0.004326851435049287	0.0006734204292297364	4.147538118984238e-05
150	1.1688809180259705	0.03419611233267435	0.19234997272491455	0.008318138446974222	0.0008805704116821289	3.345102825670261e-05
200	1.5897152352333068	0.05923299060860357	0.4054966711997986	0.011531367125509914	0.0010972189903259277	2.4587350723909876e-05
300	2.8506230902671814	0.10299744824233929	1.2415683674812317	0.008833153905806234	0.0017266392707824707	2.6799437512240272e-05
400	4.62234765291214	0.33037748793296773	2.856741542816162	0.024002318229251016	0.0022198081016540526	2.3584149989554817e-05
500	6.550559430122376	0.3954880743370119	5.505371110439301	0.06125162162588308	0.002766599655151367	4.941925411336629e-05
