DATA_SIZE	TIME_MILP	TIME_MILP_CI	TIME_BF	TIME_BF_CI	TIME_BPS	TIME_BPS_CI
10	0.006001818180084229	0.0003430172751100284	0.00020352840423583984	1.7306370048105663e-05	9.241104125976563e-05	4.1211816797724785e-06
20	0.014083387851715088	0.00020678035260270034	0.0008308672904968261	6.459163851082069e-06	0.00012049436569213867	2.118339272445812e-06
30	0.024484004974365235	0.00010744267470419753	0.0021634674072265624	2.137147870116411e-05	0.0001584959030151367	1.0946721433230092e-06
50	0.05735215425491333	0.0017954056661196628	0.008208594322204589	4.541811238719153e-05	0.00023744583129882812	2.3802402490942916e-06
100	0.16435649871826172	0.01056344751707769	0.054153563976287844	0.0011918449322718488	0.0005288505554199218	1.1665066523891865e-05
150	0.2983407402038574	0.009991559576334777	0.16745728015899658	0.0028473208054586602	0.0007083964347839356	1.1029966513616115e-05
200	0.48036163568496704	0.01757600375972124	0.38137840270996093	0.005797558806775849	0.0009727287292480469	1.6872012925253448e-05
300	0.5365732669830322	0.015641001713317688	1.2517901062965393	0.02157491367604341	0.0010471510887145995	1.8069809475123805e-05
400	0.689370665550232	0.009693716518466972	2.832985782623291	0.011694406080871004	0.0012457132339477538	1.071508642937403e-05
500	1.4182551145553588	0.07398089240319208	5.444482619762421	0.020416137276199994	0.002126009464263916	1.2156837415710631e-05
