DATA_SIZE	TIME_MILP	TIME_MILP_CI	TIME_BF	TIME_BF_CI	TIME_BPS	TIME_BPS_CI
10	0.00647749662399292	0.00032621608204301355	0.00022985219955444337	1.2674193936393284e-05	0.00010592937469482422	5.407416984712308e-06
20	0.017614777088165282	0.0011760879096709034	0.0009157180786132813	4.4770088362731425e-05	0.00012875080108642578	5.690748230581886e-06
30	0.04008068084716797	0.0022307277381371903	0.002486460208892822	0.00013687612379828187	0.00019561767578125	9.838382908623133e-06
50	0.11234118461608887	0.007621066100533389	0.01174830436706543	0.0007680200440474073	0.0003001117706298828	1.7885005237302764e-05
100	0.5934383845329285	0.03375248932858992	0.0772025728225708	0.004744861152194251	0.0005272793769836426	3.867466897550819e-05
150	1.0949588894844056	0.041390200158041325	0.20155368566513063	0.009645642054952335	0.0008387565612792969	3.875482791742437e-05
200	1.6481648349761964	0.1045595864614709	0.4037175750732422	0.009516455872406574	0.0010683679580688478	2.6957538938466608e-05
300	2.801221375465393	0.17364022523791375	1.2500213265419007	0.011484130661134774	0.0016997218132019042	1.0828433350019486e-05
400	4.370760989189148	0.34140387127477717	2.881750183105469	0.028192036052500393	0.002225992679595947	2.7404500058215858e-05
500	6.810336472988129	0.4028720997243601	5.5276438164711	0.04195851516765183	0.0027279114723205568	3.736150293992208e-05
