DATA_SIZE	TIME_MILP	TIME_MILP_CI	TIME_BF	TIME_BF_CI	TIME_BPS	TIME_BPS_CI
10	0.010707459449768066	0.0004852239135487521	0.00022561311721801757	1.1452436451249306e-05	0.00010384798049926758	4.850764031704245e-06
20	0.02485523223876953	0.001288341932230802	0.0014005541801452638	5.274872942356552e-05	0.00017614603042602538	5.261880258747055e-06
30	0.03328078269958496	0.0019709984013262303	0.003219888210296631	0.00021929173215499815	0.00020840883255004883	1.880277122474563e-05
50	0.07669188737869263	0.005697976352462476	0.0125844407081604	0.0007466834802956014	0.0004160428047180176	2.5439429004089612e-05
100	0.09347484827041626	0.006584663945247476	0.07645626306533813	0.005397096303494937	0.00045209646224975586	2.946966025880695e-05
150	0.4150229501724243	0.031092012189284122	0.2641322731971741	0.01354974855727929	0.0010362768173217774	6.559151955548756e-05
200	0.4233779191970825	0.018242808920217245	0.5350058627128601	0.0294286485805217	0.0009039783477783203	5.7150983784357045e-05
300	1.1294013261795044	0.03154607682155667	1.6712214159965515	0.07541160466970699	0.0016348648071289062	9.060767120037517e-05
400	1.935979461669922	0.08082110322245398	3.8434884405136107	0.1471270035429586	0.0024468493461608887	0.00014427067285557394
500	0.7059974694252014	0.030191272034742294	7.044913384914398	0.18305526329044697	0.001884152889251709	0.00011599666609063965
