DATA_SIZE	TIME_MILP	TIME_MILP_CI	TIME_BF	TIME_BF_CI	TIME_BPS	TIME_BPS_CI
10	0.015542428493499755	0.0016585177907825757	0.00033638238906860354	1.192587444786666e-05	0.00016079187393188476	4.82417055554105e-06
20	0.03458032846450806	0.0018146036589072893	0.0014250612258911134	6.755051933051513e-05	0.00028974056243896484	9.178842404117524e-05
30	0.07206322193145752	0.004790025526715382	0.0032994675636291502	0.00019699024175492093	0.00026570558547973634	1.537284898544653e-05
50	0.227888822555542	0.01579931059251392	0.012596290111541748	0.000656997648134506	0.00043974637985229494	2.619297924761545e-05
100	0.8956304359436035	0.029494227879601126	0.09822170495986939	0.0037706458994668365	0.0009137201309204102	4.0232071315387444e-05
150	1.7717882442474364	0.07309918452875742	0.2809902596473694	0.011946086498949848	0.0013422608375549317	7.439969797698618e-05
200	2.4643515133857727	0.0898802902079671	0.6571520495414734	0.027248375042452755	0.0017446327209472657	8.862209653834148e-05
300	4.771651656627655	0.21555096908586502	1.7479291725158692	0.08894080461009828	0.0022264719009399414	0.00013757557081274437
400	5.425545890331268	0.36631963959498226	3.4934337854385378	0.10904720135544389	0.0025768518447875977	0.0001432650103992933
500	8.350596554279328	0.41384395099151017	5.895570781230926	0.08291862752512448	0.002821218967437744	6.106244487222568e-05
