DATA_SIZE	MILP_START	MILP_END	MILP_EF1_SCORE	MILP_PRECISION	MILP_RECALL	MILP_F1_SCORE	MILP_EM	PROBABILITIES	CORRUPTED_PROBABILITIES
10	3	5	0.8571428571428571	1.0	0.6	0.7499999999999999	0	[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]	[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]
10	4	7	0.7499999999999999	1.0	0.8	0.888888888888889	0	[0, 0, 0, 1, 1, 1, 1, 1, 0, 0]	[0, 0, 0, 0, 1, 1, 0, 1, 0, 0]
10	2	6	0.9090909090909091	1.0	1.0	1.0	1	[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]	[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]
10	1	6	0.923076923076923	0.8333333333333334	1.0	0.9090909090909091	1	[0, 1, 1, 1, 1, 1, 0, 0, 0, 0]	[0, 1, 1, 1, 1, 1, 1, 0, 0, 0]
10	0	9	0.888888888888889	0.5	1.0	0.6666666666666666	1	[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 0, 1, 0, 1]
10	0	8	0.8235294117647058	0.5555555555555556	1.0	0.7142857142857143	1	[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]	[1, 1, 1, 0, 1, 0, 1, 1, 1, 0]
10	1	6	0.7272727272727273	0.8333333333333334	1.0	0.9090909090909091	1	[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]	[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]
10	4	9	0.9090909090909091	0.5	0.6	0.5454545454545454	0	[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]	[0, 0, 0, 0, 1, 0, 1, 1, 1, 1]
10	0	8	0.8235294117647058	0.5555555555555556	1.0	0.7142857142857143	1	[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 0, 1, 0, 1, 0]
10	4	7	0.888888888888889	1.0	0.8	0.888888888888889	0	[0, 0, 0, 1, 1, 1, 1, 1, 0, 0]	[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]
20	9	19	0.7000000000000001	0.45454545454545453	1.0	0.625	1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]	[0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1]
20	3	12	0.7058823529411764	0.5	1.0	0.6666666666666666	1	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]
20	0	19	0.7499999999999999	0.25	1.0	0.4	1	[0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1]
20	7	19	0.6	0.3076923076923077	0.8	0.4444444444444444	0	[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]
20	0	9	0.6666666666666666	0.5	1.0	0.6666666666666666	1	[0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]
