DATA_SIZE	MILP_START	MILP_END	MILP_EF1_SCORE	MILP_PRECISION	MILP_RECALL	MILP_F1_SCORE	MILP_EM	PROBABILITIES	CORRUPTED_PROBABILITIES
10	5	8	0.7272727272727272	1.0	1.0	1.0	1	[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]	[1, 0, 1, 0, 0, 1, 1, 1, 1, 0]
10	1	4	0.888888888888889	1.0	1.0	1.0	1	[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]	[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]
10	0	9	0.7499999999999999	0.4	1.0	0.5714285714285715	1	[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]	[1, 1, 0, 0, 1, 1, 0, 1, 0, 1]
10	1	5	0.8	0.6	0.75	0.6666666666666665	0	[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]	[0, 1, 0, 1, 1, 1, 0, 0, 0, 0]
10	5	9	0.9090909090909091	0.8	1.0	0.888888888888889	1	[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]	[0, 1, 0, 0, 0, 1, 1, 1, 1, 1]
10	3	7	0.8	0.8	1.0	0.888888888888889	1	[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]	[0, 0, 0, 1, 0, 1, 1, 1, 0, 0]
10	0	5	0.6666666666666666	0.6666666666666666	1.0	0.8	1	[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]	[1, 1, 0, 1, 0, 1, 0, 0, 1, 0]
10	4	8	0.8	0.8	1.0	0.888888888888889	1	[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]	[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]
10	4	7	0.7499999999999999	1.0	1.0	1.0	1	[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]	[0, 0, 0, 0, 1, 1, 0, 1, 0, 0]
10	2	4	0.8571428571428571	1.0	0.75	0.8571428571428571	0	[0, 0, 1, 1, 1, 1, 0, 0, 0, 0]	[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]
20	3	12	0.7368421052631579	0.4	1.0	0.5714285714285715	1	[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1]
