DATA_SIZE	MILP_START	MILP_END	MILP_EF1_SCORE	MILP_PRECISION	MILP_RECALL	MILP_F1_SCORE	MILP_EM	PROBABILITIES	CORRUPTED_PROBABILITIES
10	0	1	0.6666666666666666	1.0	0.6666666666666666	0.8	0	[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]
10	6	7	0.6666666666666666	0.5	0.3333333333333333	0.4	0	[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]	[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]
10	0	6	0.7692307692307693	0.2857142857142857	0.6666666666666666	0.4	0	[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]	[1, 1, 1, 0, 1, 0, 1, 0, 0, 0]
10	4	9	0.8	0.16666666666666666	0.3333333333333333	0.2222222222222222	0	[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 1, 0, 1, 0, 1, 1]
10	8	9	0.6666666666666666	0.0	0.0	0.0	0	[0, 1, 1, 1, 0, 0, 0, 0, 0, 0]	[1, 0, 0, 1, 0, 0, 0, 0, 1, 1]
10	7	8	0.6666666666666666	1.0	0.6666666666666666	0.8	0	[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]	[0, 0, 1, 0, 0, 0, 0, 1, 1, 0]
10	0	1	0.6666666666666666	1.0	0.6666666666666666	0.8	0	[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]
10	1	4	0.6666666666666665	0.0	0.0	0.0	0	[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]	[0, 1, 1, 0, 1, 0, 0, 1, 0, 0]
10	3	7	0.6666666666666666	0.4	0.6666666666666666	0.5	0	[0, 0, 0, 0, 0, 0, 1, 1, 1, 0]	[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]
10	0	9	0.7499999999999999	0.3	1.0	0.4615384615384615	1	[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]	[1, 1, 0, 1, 0, 1, 0, 0, 1, 1]
