DATA_SIZE	MILP_START	MILP_END	MILP_EF1_SCORE	MILP_PRECISION	MILP_RECALL	MILP_F1_SCORE	MILP_EM	PROBABILITIES	CORRUPTED_PROBABILITIES
10	2	5	0.888888888888889	1.0	1.0	1.0	1	[0, 0, 1, 1, 1, 1, 0, 0, 0, 0]	[0, 0, 1, 1, 1, 1, 0, 0, 0, 0]
10	4	7	0.888888888888889	1.0	1.0	1.0	1	[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]	[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]
10	2	5	0.888888888888889	1.0	1.0	1.0	1	[0, 0, 1, 1, 1, 1, 0, 0, 0, 0]	[0, 0, 1, 1, 1, 1, 0, 0, 0, 0]
10	5	8	0.888888888888889	1.0	1.0	1.0	1	[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]	[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]
10	1	4	0.888888888888889	1.0	1.0	1.0	1	[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]	[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]
10	2	5	0.888888888888889	1.0	1.0	1.0	1	[0, 0, 1, 1, 1, 1, 0, 0, 0, 0]	[0, 0, 1, 1, 1, 1, 0, 0, 0, 0]
10	5	8	0.888888888888889	1.0	1.0	1.0	1	[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]	[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]
10	2	5	0.888888888888889	1.0	1.0	1.0	1	[0, 0, 1, 1, 1, 1, 0, 0, 0, 0]	[0, 0, 1, 1, 1, 1, 0, 0, 0, 0]
10	0	3	0.888888888888889	1.0	1.0	1.0	1	[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]
10	5	8	0.888888888888889	1.0	1.0	1.0	1	[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]	[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]
20	16	19	1.0	1.0	1.0	1.0	1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]
20	7	10	0.888888888888889	1.0	1.0	1.0	1	[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
20	3	6	0.888888888888889	1.0	1.0	1.0	1	[0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
