DATA_SIZE	MILP_START	MILP_END	MILP_EF1_SCORE	MILP_PRECISION	MILP_RECALL	MILP_F1_SCORE	MILP_EM	PROBABILITIES	CORRUPTED_PROBABILITIES
10	0	3	0.5	0.0	0.0	0	0	[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
10	0	8	0.6666666666666666	0.4444444444444444	0.8	0.5714285714285714	0	[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]	[1, 1, 0, 1, 0, 0, 1, 0, 1, 0]
10	4	7	0.6666666666666665	1.0	0.8	0.888888888888889	0	[0, 0, 0, 1, 1, 1, 1, 1, 0, 0]	[1, 0, 0, 0, 1, 0, 1, 1, 0, 0]
10	0	8	0.7499999999999999	0.4444444444444444	0.8	0.5714285714285714	0	[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]	[1, 1, 1, 1, 0, 0, 1, 0, 1, 0]
10	6	7	0.8	1.0	0.4	0.5714285714285715	0	[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]
10	0	6	0.8571428571428571	0.7142857142857143	1.0	0.8333333333333333	1	[0, 1, 1, 1, 1, 1, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 0, 1, 0, 0, 0]
10	3	9	0.7692307692307692	0.7142857142857143	1.0	0.8333333333333333	1	[0, 0, 0, 1, 1, 1, 1, 1, 0, 0]	[1, 0, 0, 1, 1, 0, 0, 1, 1, 1]
10	1	8	0.6153846153846153	0.625	1.0	0.7692307692307693	1	[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]	[0, 1, 0, 1, 0, 0, 0, 1, 1, 0]
10	1	9	0.9411764705882353	0.5555555555555556	1.0	0.7142857142857143	1	[0, 0, 0, 1, 1, 1, 1, 1, 0, 0]	[0, 1, 1, 0, 1, 1, 1, 1, 1, 1]
10	5	6	0.8	1.0	0.4	0.5714285714285715	0	[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]	[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]
20	0	18	0.6206896551724138	0.2631578947368421	1.0	0.4166666666666667	1	[0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0]
20	4	13	0.7000000000000001	0.5	1.0	0.6666666666666666	1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]	[1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0]
